gearbox	title	refcode	description	model	year	run	phone	wheel_drive	price
Manual	RILEY 16 1938 Riley 16/4 Special	TA1186584	"1938 Riley 16/4 Special
1938 Riley 16/4 Special built on 12/4 Adelphi chassis 28AX7593 shortened ..."	1938 Riley 16/4 Special	1938 	0		RHD	76,950
Automatic	FORD MUSTANG	DIY1136315	Beautiful 1967 289 V8 Mustang in the very sought after Acapulco Blue. Over £30,000 of restoration...		1967 	70,000		LHD	18,000
Automatic	MERCEDES-BENZ 500 E	TA1190490	Offered for sale is a 5.0L 1993 Mercedes-Benz 500E automatic. Coming with an extensive history fi...	E	1993 	0		LHD	Auction
N/A	BMW 3 SERIES	TA1191182	* One of only 207 right-hand drive models Manual transmission Rare factory sunroof Recent extensi...		1974 	0		RHD	Auction
N/A	JAGUAR E-TYPE	TA1191177	* Delivered new to the USA Left-hand drive Extensively restored in 2013		1967 	0		RHD	Auction
N/A	MARCOS GT	TA1191175	* Converted into a competition car by David Methley of Farnham Engine Services Present ownership ...		1965 	0		RHD	Auction
N/A	JAGUAR XK150	TA1191173	* Fitted with air conditioning by Clayton Heaters Ltd Extensively upgraded Present ownership sinc...		1960 	0		RHD	Auction
N/A	MERCEDES-BENZ 280	TA1191171	* Recent extensive refurbishment Delivered new to the USA 30,000 cosmetic restoration Automatic t...		1970 	0		RHD	Auction
N/A	ASTON MARTIN V8	TA1191170	* Believed converted to X-Pack specification Original colour combination Extensively restored Exc...		1979 	0		RHD	Auction
N/A	FORD GT	TA1191169	* Modern reworking of an iconic racing GT One owner and only 609 miles from new Shadow Black with...		2018 	0		RHD	Auction
N/A	MG MIDGET	TA1191166	The 17th TA Midget produced Driven by William and Kitty Brunell in the 1936 Continental Tour of E...		1936 	0		RHD	Auction
N/A	ALFA ROMEO 1900	TA1191163	* Landmark Alfa Romeo model Imported into the UK in 1960 Present ownership since 1985 Restored in...		1954 	0		RHD	Auction
N/A	FORMULA RACE CAR	TA1191161	* In-period Formula 1 World Championship history First raced by curie National Belge Restored in ...		1961 	0		RHD	Auction
N/A	ALFA ROMEO 1750 GTV	TA1191159	* Right-hand drive Restored in 2017 Recent service by marque specialist Rare colour combination	GTV	1968 	0		RHD	Auction
N/A	CHEVROLET CORVETTE	TA1191145	**REMAINS AVAILABLE - LOT 110 FEBRUARY - PLEASE TELEPHONE 01751 474455**; 1976 Chevrolet Corvette...		1976 	0		RHD	Auction
N/A	MG C	TA1191128	1968 MG C Roadster; More information to follow.; On-site now for viewing.; We are open 7 days a w...		1968 	0		RHD	Auction
N/A	ROVER 3500	TA1191127	1984 Rover 3500 Vanden Plas EFi Auto; More information to follow.; On-site now for viewing.; We a...		1984 	0		RHD	Auction
N/A	TRIUMPH 2000	TA1191126	1973 Triumph 2000 Estate; More information to follow.; On-site now for viewing.; We are open 7 da...		1973 	0		RHD	Auction
N/A	PEUGEOT 309	TA1191125	1989 Peugeot 309 Rally Car; The vendor has kindly supplied the following:; On-site now for viewin...		1989 	194,000		RHD	Auction
N/A	TRIUMPH SPITFIRE	TA1191123	1978 Triumph Spitfire 1500; More information to follow; On-site now for viewing; We are open 7 da...		1978 	0		RHD	Auction
Automatic	TRIUMPH STAG Mk2	TA1187159	"1975 Triumph Stag Mk2 3.0 V8 Automatic finished in Pimento Red with Black Interior and Hood.
We a..."	Mk2	1975 	62,000		RHD	14,795
Manual	TRIUMPH STAG Manual Overdrive	TA1171166	"1972 Mk2 Triumph Stag Manual Overdrive finished in Red with Black Interior.
We are delighted to o..."	Manual Overdrive	1972 	73,000		RHD	15,295
N/A	MORGAN 4/4	TA1191119	2000 Morgan Sports; More information to follow; We are open 7 days a week here at Thornton Le Dal...		2000 	27,590		RHD	Auction
N/A	HILLMAN MINX	TA1191115	1967 Hillman Minx De-luxe; More information to follow; On-site now for viewing; We are open 7 day...		1967 	38,000		RHD	Auction
N/A	BMW ISETTA	TA1191113	1962 BMW Isetta and Trailer; More information to follow; On-site now for viewing; We are open 7 d...		1962 	0		RHD	Auction
N/A	ROVER P4	TA1191111	1957 Rover P4; More information to follow; On-site now for viewing; We are open 7 days a week her...		1957 	0		RHD	Auction
N/A	FORD ZODIAC	TA1191109	1965 Ford Zodiac; More information to follow; On-site now for viewing; We are open 7 days a week ...		1965 	0		RHD	Auction
N/A	DAIMLER SOVEREIGN	TA1191107	1978 Daimler Sovereign Auto; More information to follow; On-site now for viewing; We are open 7 d...		1978 	0		RHD	Auction
N/A	SAAB 93	TA1191101	1998 Saab 93 SE; More information to follow; On-site now for viewing; We are open 7 days a week h...		1998 	0		RHD	Auction
N/A	JOWETT JAVELIN SHORT 2	TA1191095	1924 Jowett Short 2 Tourer; The vendor has kindly supplied the following information:; Owned by t...	SHORT 2	1924 	0		RHD	Auction
N/A	STANDARD DELUXE Ensign	TA1191092	1962 Standard Ensign De-luxe; The vendor has supplied the following information.; On site now for...	Ensign	1962 	78,047		RHD	Auction
N/A	AUSTIN 12 HP ASCOT	TA1191084	1939 Austin Ascot 12HP Chassis Cab; More information to follow; **BUYER WILL NEED TO APPLY FOR A ...	HP ASCOT	1939 	0		RHD	Auction
N/A	ELSWICK ENVOY	TA1191061	1983 Elswick Envoy; The vendor has supplied the following information.; This 1983 Elswick Envoy w...		1983 	38,000		RHD	Auction
N/A	ROVER METRO 114 SLi	TA1191060	1996 Rover 114 SLi; Showing just 12,000 miles (believed to be correct but please make your own en...	114 SLi	1996 	12,971		RHD	Auction
N/A	RILEY 1.5	TA1191059	1962 Riley 1.5; More information to follow; Due on site shortly.; We are open 7 days a week here ...		1962 	0		RHD	Auction
N/A	VAUXHALL NOVA	TA1191056	1989 Vauxhall Nova Merit; Finished in Nordic Blue and can only be described as virtually 'As New!...		1989 	20,403		RHD	Auction
Automatic	FORD MUSTANG Mach 1	TA1191220	Mustang Mach 1, 351ci V8 , Fastback 1970	Mach 1	1970 	18,000		LHD	44,995
Manual	PORSCHE 911 (996) CARRERA 4	TA1191219	Recent full recommission and major service.  IMS / RMS / CLUTCH	(996) CARRERA 4	1999 	88,750		RHD	16,490
Manual	PORSCHE 993 C2 Varioram	TA1186212	**RESERVED** Just two owners.  Fully repainted to a high standard.	C2 Varioram	1997 	85,000		RHD	45,990
Manual	PORSCHE BOXSTER RS60 Spyder	TA1186209	**NOW SOLD**  GT Silver.  Low ownership.  Always supplying and main-dealer serviced.	RS60 Spyder	2008 	61,500		RHD	POA
Manual	AUSTIN-HEALEY FROGEYE SPRITE	TA1187116	1961 Austin Healey Frog Eye Sprite finished in Leaf Green with Black Interior and Hood and side s...		1961 	28,000		RHD	23,795
Manual	MERCEDES-BENZ 170	DIY1186019	Full immaculate restoration, UK reg with V5 documents, most attractive, Cream leather interior, B...		1951 	33,554		LHD	130,000
Manual	VOLKSWAGEN KEVER	TA1191213	Volkswagen 1303 Kever Cabriolet '73		1973 	53,188		LHD	32,950
Manual	VOLKSWAGEN KARMANN	TA1191212	Volkswagen Karmann Ghia Cabriolet '71		1971 	31,934		LHD	47,950
Automatic	MERCEDES-BENZ 280	TA1191211	Mercedes-Benz 280SL Pagode '69		1969 	20,803		LHD	72,950
Manual	MINI COOPER SPORT 500	TA1189497	2001 Y Reg Cooper Sport 500 in British Racing Green and Silver. This is one of the last 500 minis...	SPORT 500	2001 	630		RHD	27,495
Manual	MINI COOPER SPORT	TA1189254	2000 Rover Mini Cooper Sport in the last edition colours of Solar red with a silver roof, bonnet ...	SPORT	2000 	26,850		RHD	16,495
Manual	MINI COOPER SPORT	TA1191208	** COMING SOON ** 2000 Rover Mini Cooper Sport in rare anthracite metallic with a silver roof, bo...	SPORT	2000 	41,900		RHD	15,750
Manual	VOLKSWAGEN KEVER	TA1191210	Volkswagen Kever Cabriolet '73		1973 	234,558		LHD	29,950
Manual	LANCIA FULVIA	TA1191207	"1973 LHD Lancia Fulvia Coupe - Rare metallic Grigio
Finished in extremely rare metallic Grigio wi..."		1973 	43,495		LHD	15,000
Manual	LANCIA FULVIA	TA1191205	"1975 LHD Lancia Fulvia Coupe
Finished in Lancia Blu with a stunning cream interior
3 owners from ..."		1975 	12,427		LHD	15,000
Manual	LANCIA FULVIA	TA1191157	"1976 LHD Lancia Fulvia Coupe - One of the last!
2 owners (Last owner 1996-2020)
Rosso york paint ..."		1976 	26,718		LHD	16,000
Automatic	ROLLS-ROYCE SILVER WRAITH	TA1191204	1947 Rolls-Royce Silver Wraith Sedanca De Ville		1947 	0		RHD	49,750
Automatic	PORSCHE MACAN V6D S PDK	TA1191202	2015 Porsche Macan V6 Diesel PDK Automatic	V6D S PDK	2015 	38,000		RHD	31,995
Automatic	JAGUAR XJS 4.0 litre facelift coupe	DIY1191199	Good condition.12 month MoT no advisories, all the usual Jaguar refinements, all in good working ...	4.0 litre facelift coupe	1993 	98,000		RHD	9,250
Manual	PORSCHE 944	DIY1191043	12 months MoT, no rust, bodywork in excellent condition, full systems and mechanical check by Por...		1986 	95		RHD	7,500
N/A	BUGATTI TYPE 35 TEAL Replica	DIYCCW1175925	Beautiful inside & out much admired 1800cc, french blue with matching interior, historic vehicle ...	TEAL Replica	1973 	0		RHD	16,000
Manual	CITROEN AX Jive	DIY1190431	Owned since Jan 14, one previous owner from new, regularly maintained & serviced, wax loaded unde...	Jive	1993 	35,457		RHD	3,500
Manual	ALFA ROMEO GIULIA Junior Z	TA1191198	Gorgeous and fast Junior Z with 1750 motor.	Junior Z	1970 	12,427		LHD	39,995
Manual	JAGUAR E-TYPE S3 Roadster	DIYCCW1169150	Manual, UK car, MoT, heritage certificate, excellent largely original condition, extensive histor...	S3 Roadster	1972 	76,000		RHD	89,950
Manual	"LAND ROVER SERIES I 86"""	TA1179291	This is a lovely example of a well loved and cared for Seies 1. Extensive refurbishment over the ...	"86"""	1956 	7,758		RHD	39,995
Manual	LOTUS ELISE S1	DIY1189496	Very nice example, just had a body off respray, fully clean underneath, never been modified, come...	S1	1998 	15,600		RHD	19,750
Automatic	ROLLS-ROYCE SILVER CLOUD	TA1171514	1960 Rolls-Royce Silver Cloud II Original drop head coupe by HJ Mulliner.		1960 	0		RHD	295,000
Manual	MORRIS MINOR 1000	DIYCCW1191193	Rose Taupe, manual, engine rebuild Feb 2019, lots of new parts fitted, 5 new tyres, original cond...	1000	1962 	0		RHD	4,000
Automatic	FERRARI 360 SPIDER F1 Spider	TA1191138	The Ferrari 360 was announced at the 1999 Geneva Motor Show to replace the beloved F355 that had ...	F1 Spider	2005 	22,051		RHD	69,950
Automatic	LAND ROVER RANGE ROVER VOGUE EFI Classic	TA1191150	1992 Land Rover Range Rover Vogue Classic 3.9 EFI Automatic. Ardennes Green with Grey velour upho...	EFI Classic	1992 	73,000		RHD	14,995
Automatic	MERCEDES-BENZ SLS	TA1172380	2010 Mercedes-Benz SLS AMG for sale in London		2010 	24,800		RHD	129,950
Manual	LAND ROVER 88	TA1191131	"1976 LHD Land Rover 88
2400 Diesel
Completely original
Perfect rust free body and chassis
Rare co..."		1976 	47,845		LHD	22,000
Manual	LAND ROVER 90	TA1191110	"1993 LHD Land Rover Defender 90 200 TDI
A nicely prepared Defender 90
Sort after 200 TDI engine
P..."		1993 	178,954		LHD	19,500
Manual	LAND ROVER 110	TA1191048	"1985 LHD Land Rover Defender 110
A very original truck
Very period correct!
Rock solid 12j engine..."		1985 	121,788		LHD	18,000
N/A	CITROEN AMI 8 ESTATE LHD	DIYCCW1181860	Early type with DS style steering wheel, needs restoration, good chassis, runs well, can be viewe...	8 ESTATE LHD	1971 	61,000		LHD	1,500
Automatic	PORSCHE BOXSTER	TA1191066	A Late Porsche Boxster 986 with 25,584 Miles and Full Supplying Porsche History		2004 	25,584		RHD	10,995
Manual	MAZDA MX-5 MK 2	DIY1189226	2 former owners, same family owned for the last 15 years, 1 of only 500 made, drives like new, ex...	MK 2	2001 	40,250		RHD	3,495
Automatic	BMW 320 i E30 1986 4-door sedan	TA1191050	This BMW 320i from the E30 series was built in 1986. This 4-door sedan was delivered to the first...	i E30 1986 4-door sedan	1986 	138,590		LHD	8,950
Manual	ROVER 80 P4	TA1191046	1962 Rover 80 P4. Dove Grey with red leather upholstery. This Rover 80 was registered on 19-04-19...	P4	1962 	41,000		RHD	7,995
Automatic	ALPINA B3 BITURBO CABRIO SWITCHTRONIC	TA1191044	Genuine, exclusive & extremely Rare 175mph 2008 BMW ALPINA B3 BITURBO 360BHP Switch-Tronic Cabrio...	BITURBO CABRIO SWITCHTRONIC	2008 	65,000		RHD	24,995
Manual	VOLVO P1800 Jensen	TA1191045	This Volvo P1800 Jensen is built in 1962. The car has a 1.780cc B18 four-cylinder engine and a ma...	Jensen	1962 	11,167		LHD	12,500
Automatic	BMW 325 Tourer M-sport	DIY1191039	1 previous owner, light grey leather, full electric pan roof, immaculate car, just had major serv...	Tourer M-sport	2006 	69,950		RHD	7,995
Manual	JOWETT JAVELIN	DIY1191040	Recently rebuilt engine with many new parts and balanced professionally, needs running in, spin-o...			12,969		RHD	5,950
Manual	FIAT 500	DIY1191032	New floor pans, new steering gear, new brakes, recent full service, excellent mechanics (no oil u...			58,000		LHD	6,800
Automatic	TRIUMPH STAG	DIY1178242	1 owner since Aug 1996, hard/soft top, open top, been well maintained with some work done, bare m...		1976 	109,500		RHD	12,595
Manual	FERRARI MONDIAL	DIY1164778	Lovely, service book fully stamped, comprehensive history from new, is in excellent condition thr...		1990 	60,000		RHD	36,950
N/A	BUGATTI TYPE 35 Molsheim Replica	DIYCCW1175924	Virtually as new, with just 450 miles since completed, no MoT, no tax required, registered 1966, ...	Molsheim Replica	1966 	450		RHD	18,000
Manual	TRIUMPH TR3B 1962 Restoration project	TA1191041	This Triumph TR3B was built in 1962. These rare B types have only been produced for 1 year. Only ...	1962 Restoration project	1962 	11,167		LHD	10,500
Manual	FORD ESCORT RS Turbo	TA1166795	"SOLD: Remarkably well preserved, one owner and just 12k miles from new.

SIMILAR REQUIRED /// Ple..."	RS Turbo	1991 	12,805		RHD	POA
Manual	ROVER MINI	DIY1189982	One previous owner before myself, grey seats, solid floor & bodywork, no rot, recent respray, may...		1991 	24,000		RHD	6,000
Manual	BOND MINICAR 250 G Estate	TA1189599	A Professionally Restored and Owners Club Known Bond Minicar 250 G Estate	250 G Estate	1966 	42,178		RHD	9,995
Manual	MG B Cabriolet 1978 Damask Red	TA1191037	This MG B Cabriolet was built in 1978. The MG has the popular paint colour Damask Red with a blac...	Cabriolet 1978 Damask Red	1978 	11,167		LHD	7,950
Manual	MINI COOPER SPORT	TA1190975	"** Coming Soon **
2000 Rover Mini Cooper Sport in the last edition colours of British Racing Gree..."	SPORT	2000 	4,560		RHD	21,995
Manual	JAGUAR E-TYPE Series 3 V12 Roadster	TA1179382	1974 Jaguar E-Type Series 3 V12 Roadster Manual For Sale in London (LHD)	Series 3 V12 Roadster	1974 	29,000		LHD	79,950
Manual	FIAT 500 500D Trasformabile	TA1191035	Fiat 500D Trasformabile Classic 1964 / LHD Italy / Concours Restored Nut & Bolt / Perfection @ £1...	500D Trasformabile	1964 	18,750		LHD	18,750
Automatic	PORSCHE 964 911 Targa Carrera 2	TA1180798	1990 Porsche 911 Targa Carrera 2 Tiptronic For Sale In London (RHD)	911 Targa Carrera 2		1		RHD	49,750
Automatic	SUBARU IMPREZA WRX	DIYCCW1191033	Reg: VK52 HXR, 2.0L turbo, pro drive stainless exhaust, full service history (just serviced), 3 o...	WRX	2002 	101,800		RHD	2,500
Manual	AUSTIN A40 SPORT	DIYCCW1191031	Aluminium body by Jensen, 1200cc engine, 4 seat convertible, regularly rallied.	SPORT	1953 	38,550		RHD	16,000
Manual	ROLLS-ROYCE 20/25	DIY1174698	D backed sports saloon by H J Mulliner, nice period car, new exhaust, lack of garage space prompt...		1932 	150,000		RHD	43,000
Manual	RENAULT 5	DIY1153400	Immaculate condition ,starts and drives fine, excellent interior, brand new tyres, underneath sea...		1994 	62,500		RHD	3,000
Automatic	HONDA PRELUDE	DIY1154176	Excellent mechanically with extensive service history, all paper work, mature lady owner from new...		1998 	114,450		RHD	3,500
Manual	AUSTIN-HEALEY SPRITE 1961 Frogeye	TA1191030	This Austin Healey Sprite was delivered new in 1961. Since 1999, this English classic has been fr...	1961 Frogeye	1961 	11,167		LHD	16,950
Manual	PORSCHE 924 931 Turbo II	DIY1147007	Powerful, second gen turbo version, completely original and in very good condition, interior is a...	931 Turbo II	1981 	25,476		LHD	15,500
N/A	HONDA S800	TA1190861	Odometer Reading: c. 19,000 MoT Expiry: 12/20 *Little seen in the UK *Restored to a high standard...		1967 	0		RHD	Auction
Automatic	JAGUAR 420	DIY1173097	Complete body-on restoration 5 years ago,  drives like a dream, this car is turnkey, just get in ...		1968 	65,674		LHD	12,999
Manual	VOLKSWAGEN CAMPERVAN Type 2 1600cc Bay Window Westfalia Campe	DIY1166387	Stunning, original, imported from South Africa in 2007, hence being a rare right hand drive model...	Type 2 1600cc Bay Window Westfalia Campe	1971 	59,000		RHD	25,500
N/A	LAND ROVER RANGE ROVER	TA1190851	Odometer Reading: 148,126 MoT Expiry: TBC *Good history *Externally very presentable *Running wel...		1994 	0		RHD	Auction
N/A	LEXUS RX 450H	TA1190850	Odometer: 174000 MOT: 14/08/2020 *Hybrid Car *Good Example *Runs and Drives Well The Lexus range ...	450H	2010 	0		RHD	Auction
N/A	BENTLEY MARK VI SPECIAL	TA1190849	Odometer Reading: 2403 MoT Expiry: N/A *Interesting way into Bentley special ownership *Built by ...	SPECIAL	1950 	0		RHD	Auction
N/A	FORD ESCORT 1.6SI 16V 3 DOOR HATCHBACK	TA1190848	Odometer Reading: 42,894 MoT Expiry: 03/01/2021 *Stored since 1998 *Becoming rare in this conditi...	1.6SI 16V 3 DOOR HATCHBACK	1996 	0		RHD	Auction
N/A	JAGUAR XF 4.2 SUPERCHARGED	TA1190846	Odometer:11700 MOT: 27/12/2020 *Good History File *Mechanically Sound *Well Presented Replacing t...	4.2 SUPERCHARGED	2008 	0		RHD	Auction
N/A	LAND ROVER RANGE ROVER 5.0 V8 SUPERCHARGED	TA1190840	Odometer: 105000 MOT: 20/11/2020 *Good Example *Presents Well *Overfinch Wheels As its developmen...	5.0 V8 SUPERCHARGED	2009 	0		RHD	Auction
N/A	LAND ROVER RANGE ROVER	TA1190838	Odometer Reading: 105,480 MoT Expiry: 02/08/2021 *Ideal for use-and-improve *Bodywork generally g...		1989 	0		RHD	Auction
N/A	VOLKSWAGEN BEETLE RSI	TA1190837	Mileage: 57,200 MoT: TBA *1 of just 251 built *One for the modern classic cognoscenti *VR6 engine...	RSI	2001 	0		LHD	Auction
N/A	MERCEDES-BENZ 560 SL	TA1190835	Odometer Reading: 122,833 MoT Expiry: 17/10/2020 *Left-hand drive *Rust-free import from the USA ...	SL	1988 	0		LHD	Auction
N/A	MERCEDES-BENZ 350 SL	TA1190833	Odometer Reading: 66,900 MoT Expiry: 02/23/2021 *Two owners from new *Panoramic roof *Good specia...	SL	2005 	0		RHD	Auction
N/A	MERCEDES-BENZ 280 GE	TA1190832	Odometer Reading: 150,000 MoT Expiry: 11/10/2020 *Regularly serviced *Re-painted three years ago ...	GE	1988 	0		RHD	Auction
N/A	ROLLS-ROYCE SILVER CLOUD 3	TA1190829	Odometer Reading: 98,000 MoT Expiry: N/A *Good colour combination *30,000 engine re-build *Fine b...	3	1964 	0		RHD	Auction
N/A	FERRARI 208 GTB	TA1190821	Odometer Reading: 65,200 MoT Expiry: 25/02/2021 *Italian-market model *Engine rebuilt in 2015 *Ju...	GTB	1981 	0		RHD	Auction
N/A	LEXUS LS400	TA1190819	Odometer: 150,053 MoT Expiry: 10/02/2021 *Refined, Luxurious grand tourer *Same family ownership ...		1992 	0		LHD	Auction
N/A	BENTLEY ARNAGE RED LABEL	TA1190818	Odometer: 50000 MOT: 22/01/2021 *Good History *Runs and Drives Well *Presents Well Retaining the ...	RED LABEL	2001 	0		RHD	Auction
N/A	MERCEDES-BENZ SL-CLASS 350 SPORTS	TA1190815	Odometer Reading: 129,314 MoT Expiry: 12/04/2020 *Desirable modern classic *Unusual body colour *...	350 SPORTS	2003 	0		RHD	Auction
N/A	AUDI S8	TA1190813	Odometer Reading: 199,800 MoT Expiry: TBC *Offered with signed picture of Robert Plant *Running w...		2002 	0		RHD	Auction
N/A	MERCEDES-BENZ 500 SL	TA1190811	Mileage: 93,000 MoT: 16/10/2020 *Full service history *Current MoT Attractive and reliable and ty...	SL	2004 	0		RHD	Auction
Manual	VOLKSWAGEN KARMANN Ghia	DIY1169989	MoT until July 2020, kept garaged, driven rarely, beautiful interior, metallic red bodywork, serv...	Ghia	1970 	60,000		RHD	18,000
Manual	SUNBEAM ALPINE Series 1	DIY1186803	Extremely rare, bare metal professional respect, new chrome wires / tyres and interior, drives ex...	Series 1	1960 	1,000		RHD	19,000
N/A	HONDA ACCORD	TA1190804	Odometer Reading: 41000 MoT Expiry: 21/11/2020 *Little seen today *Just 41,000 miles *Good order ...		1988 	0		RHD	Auction
N/A	ASTON MARTIN DB7 VANTAGE	TA1190802	Odometer: 60,804 MOT: 04/12/2020 *Well maintained *Long MoT test *Great way into Aston Martin own...	VANTAGE	1999 	0		RHD	Auction
N/A	LANCIA THEMA 8.32	TA1190799	Odometer Reading: 79,000 Kms MoT Expiry: 23/01/2021 *Full service history *Minimal mileage in rec...	8.32	1998 	0		LHD	Auction
N/A	FIAT CINQUECENTO	TA1190796	Odometer Reading: 2,810 MoT Expiry: Expired *2,810 miles from new *Outstanding order *A unique of...		1997 	0		RHD	Auction
N/A	VOLVO 940 CLASSIC ESTATE	TA1190795	Odometer Reading: 132,371 MoT Expiry: 25/01/2021 *Rare body colour *Non-sunroof model *Original V...	CLASSIC ESTATE	1996 	0		RHD	Auction
N/A	ASTON MARTIN VIRAGE	TA1190791	Odometer Reading: 31,000 MoT Expiry: 18/02/2021 *Outstanding condition outside and inside *31,000...		1993 	0		RHD	Auction
N/A	VOLKSWAGEN CORRADO VR6 CAMPAIGN	TA1190790	Odometer Reading: 98,000 MoT Expiry: 27/11/2020 *High-quality restoration *Very rare edition one ...	VR6 CAMPAIGN	1992 	0		RHD	Auction
N/A	TALBOT SOLARA LOTUS	TA1190788	Odometer Reading: 42,000 MoT Expiry: TBC *From a fastidious TSL collector *Meticulously restored ...	LOTUS	1980 	0		RHD	Auction
N/A	RENAULT MEGANE TROPHY R	TA1190785	* Offered in good as new condition Renaultsport masterpiece 0-62mph in 5.8 seconds One of only 30...	TROPHY R	2015 	0		RHD	Auction
N/A	PORSCHE 911 TYPE 997 TURBO S CABRIOLET	TA1190784	Odometer Reading: c.30,500 MoT Expiry: 21/05/2020 *UK-market model *Tiptronic gearbox *Very well ...	TYPE 997 TURBO S CABRIOLET	2007 	0		RHD	Auction
N/A	DODGE VIPER GTS	TA1190783	Odometer Reading: 29,500 MoT Expiry: 03/10/2021 *Servicing carried out by supplying dealer *UK ma...	GTS	2001 	0		LHD	Auction
N/A	ASTON MARTIN DB9	TA1190782	Mileage: 12,000 MOT: 15/01/2021 *Low Mileage *Fine Example *Service History Maintaining the looks...		2013 	0		RHD	Auction
N/A	PORSCHE 911 TYPE 996 TURBO S	TA1190781	Odometer Reading: 15,450 MoT Expiry: 05/08/2020 *UK-market model *Right-hand drive *Fitted with T...	TYPE 996 TURBO S	2005 	0		RHD	Auction
N/A	VOLKSWAGEN POLO	TA1190780	Odometer Reading: 37,600 MoT Expiry: 01/10/2020 *Good service history *Affordable modern classic ...		1993 	0		RHD	Auction
N/A	BMW Z3 M	TA1190779	* Much recent (4,000) expenditure Most mileage covered on motorways Long MoT test Odometer Readin...	M	1999 	0		RHD	Auction
N/A	PORSCHE 911 TYPE GT3	TA1190778	Odometer Reading: c.34,000 MoT Expiry: 25/02/2021 *Low mileage *Good service history *Well presen...	TYPE GT3	2000 	0		RHD	Auction
N/A	JAGUAR XK 8	TA1190776	Odometer Reading; 80,000 MoT Expiry: TBC *Sound example of this appreciating model *Running well ...	8	2006 	0		RHD	Auction
N/A	MERCEDES-BENZ SL-CLASS 55 AMG	TA1190775	Odometer Reading: 47,000 MoT Expiry: 06/05/2020 *Affordable way into super-performance *Mechanica...	55 AMG	2003 	0		RHD	Auction
Manual	MG B Roadster	DIY1185691	"Stage two, 2.1 balanced engine, HS6 carbs manifold, 3 inch stainless exhaust,
complete new interi..."	Roadster	1971 	33,000		RHD	15,995
Manual	LAND ROVER RANGE ROVER Classic 2 door	DIY1173223	Owned for 81/2 years, all electrical and mechanical systems repaired where necessary, re-sprayed ...	Classic 2 door	1972 	90,000		RHD	30,000
N/A	FORD SIERRA	TA1190772	Odometer Reading: TBC MoT Expiry: 10/12/2020 *No-expense-spared extensive restoration *Engine ser...		1990 	0		RHD	Auction
N/A	AUDI QUATTRO TURBO 10V	TA1190771	Odometer: 70000 MOT: 29/07/2020 *Good Example *Relatively Low Mileage *New MoT The impact of the ...	TURBO 10V	1988 	0		RHD	Auction
N/A	FERRARI 412 GT	TA1190770	Odometer Reading: 53,915 MoT Expiry: 24/07/2020 *Manual gearbox example believed one of 21 *New c...	GT	1988 	0		RHD	Auction
N/A	FIAT 127	TA1190768	Odometer Reading: 3,301Kms MoT Expiry: N/A *An early example *Left-hand drive *Good colour combin...		1974 	0		LHD	Auction
N/A	FIAT 500 L	TA1190735	Odometer Reading: TBC MoT Expiry: Exempt *Very well presented inside and out *Unusual colour *Fue...	L	1970 	0		RHD	Auction
N/A	JEEP CJ-5	TA1190734	Odometer Reading: TBC MoT Expiry: N/A *Little seen in the UK *In good order *A great opportunity ...		1983 	0		LHD	Auction
N/A	BMW 6 SERIES 628 CSI	TA1190733	Odometer: 71000 MOT: 14/10/2020 *Good History File *Runs and Drives Well *Comes with current MoT ...	628 CSI	1986 	0		RHD	Auction
N/A	PORSCHE 928 S2	TA1190731	Odometer Reading: 118,000 MoT Expiry: 26/07/2020 *Comprehensive history *Original paintwork *Good...	S2	1986 	0		RHD	Auction
N/A	MERCEDES-BENZ 280 SL SPORTS	TA1190730	Odometer Reading: 99,840 MoT Expiry: 14/06/2020 *From a private collection *Many options fitted *...	SL SPORTS	1984 	0		RHD	Auction
N/A	FORD SIERRA RS COSWORTH	TA1190729	Odometer Reading: c. 50,000 MoT Expiry: 02/2021 *Extremely good bodywork and paint *Very good mec...		1987 	0		RHD	Auction
N/A	BMW 635 CSI	TA1190728	Odometer: 230700 MOT: 01/11/2020 *Good Example *Comes with MoT *Good Service History The 6-Series...	CSI	1988 	0		RHD	Auction
N/A	MERCEDES-BENZ 500 SL SPORTS	TA1190727	Odometer Reading: 58,100 MoT Expiry: 07/02/2021 *Many factory extras including limited-slip diffe...	SL SPORTS	1983 	0		RHD	Auction
N/A	MERCEDES-BENZ W123 230 CE	TA1190726	Odometer: 150,000 MOT: 14/10/2020 *Pillarless coupe version of the long-lasting W123 model *Runni...	230 CE	1981 	0		RHD	Auction
N/A	JAGUAR E-TYPE SERIES 1 4.2	TA1190725	Odometer Reading: 42,696 MoT Expiry: N/A *Estate sale *Last used in 2012 *Exciting, rewarding pro...	SERIES 1 4.2	1967 	0		LHD	Auction
N/A	FORD MODEL A 5 WINDOW	TA1190724	Odometer Reading: TBC MoT Expiry: Exempt *True old-school vintage hot rod *Running stroked small-...	5 WINDOW	1930 	0		LHD	Auction
N/A	LAND ROVER RANGE ROVER CSK	TA1190716	Odometer Reading: 110,000 MoT Expiry: TBC *Rarely seen *Very good bodywork and paint *Mechanicall...	CSK	1991 	0		RHD	Auction
N/A	LAND ROVER SERIES II	TA1190715	Odometer Reading: 61,000 MoT Expiry: Exempt *Ultimate practical classic *Low ownership *Generally...		1962 	0		RHD	Auction
N/A	MERCEDES-BENZ 450 SE	TA1190713	Odometer Reading: TBC MoT Expiry: N/A *Earlier example of W116 S-class *Alloy wheels *Good order ...	SE	1975 	0		LHD	Auction
